QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 12
100100 399.63 -199.27 0
100101 399.27 -199.63 0
100102 399.27 -200.37 0
100103 399.63 -200.73 0
100104 399.63 -200.37 0
100105 399.63 -199.63 0
100106 400.37 -199.27 0
100107 400.37 -199.63 0
100109 400.37 -200.37 0
100110 400.37 -200.73 0
100111 400.73 -200.37 0
100114 400.73 -199.63 0
QRcodeTable Start
qrcode_table的大小为: 8
100301 311.67 -188.327 -92.264
100302 311.643 -189.351 -91.1349
100303 312.347 -189.361 -91.0547
100315 311.113 -207.294 -90.6139
100327 312.376 -188.377 -91.0937
100336 311.092 -208.29 -91.0267
100337 311.833 -208.319 -90.9734
100338 311.861 -207.317 -90.3825
MV_SC2005AM Start

error: x1 == x2
error: x1 == x2
error: x1 == x2
error: x1 == x2
 init 

2024-8-21_18:24:46.349611,-nan,-nan,-nan,-nan,1724235886.3496,-nan,-nan,-nan
2024-8-21_18:24:47.309706,0.0004,0.0004,0.0002,-0.0300,1724235887.3097,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.319741,0.0003,-0.0001,-0.0003,0.0100,1724235887.3197,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.327662,0.0000,0.0000,0.0000,0.0000,1724235887.3277,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.329708,0.0000,0.0000,0.0000,0.0000,1724235887.3297,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.339804,0.0002,0.0000,0.0002,0.0000,1724235887.3398,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.347695,0.0000,0.0000,0.0000,0.0000,1724235887.3477,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.349708,0.0001,-0.0001,-0.0001,0.0100,1724235887.3497,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.359742,0.0004,0.0004,-0.0000,-0.0300,1724235887.3597,399.9994,-198.5617,-90.9200
2024-8-21_18:24:47.367669,0.0000,0.0000,0.0000,-0.0000,1724235887.3677,399.9994,-198.5617,-90.9200
2024-8-21_18:24:47.369710,0.0003,-0.0002,0.0001,0.0200,1724235887.3697,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.379734,0.0003,-0.0001,-0.0003,0.0100,1724235887.3797,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.387683,0.0000,0.0000,0.0000,0.0000,1724235887.3877,399.9991,-198.5619,-90.8900
2024-8-21_18:24:47.389705,0.0003,0.0002,0.0001,-0.0200,1724235887.3897,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.399733,0.0002,0.0000,0.0002,0.0000,1724235887.3997,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.407618,0.0000,0.0000,0.0000,0.0000,1724235887.4076,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.409704,0.0004,-0.0004,-0.0002,0.0300,1724235887.4097,399.9989,-198.5617,-90.8800
2024-8-21_18:24:47.419713,0.0004,0.0004,0.0002,-0.0300,1724235887.4197,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.427714,0.0000,0.0000,0.0000,0.0000,1724235887.4277,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.429711,0.0001,-0.0001,-0.0001,0.0100,1724235887.4297,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.439793,0.0004,-0.0003,-0.0003,0.0200,1724235887.4398,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.447684,0.0000,0.0000,0.0000,0.0000,1724235887.4477,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.449707,0.0004,0.0003,0.0003,-0.0200,1724235887.4497,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.459741,0.0000,0.0000,0.0000,0.0000,1724235887.4597,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.467731,0.0000,0.0000,0.0000,0.0000,1724235887.4677,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.469671,0.0002,-0.0000,-0.0002,0.0000,1724235887.4697,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.479712,0.0003,-0.0002,-0.0001,0.0200,1724235887.4797,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.487735,0.0000,0.0000,0.0000,0.0000,1724235887.4877,399.9989,-198.5619,-90.8800
2024-8-21_18:24:47.489716,0.0006,0.0004,0.0004,-0.0300,1724235887.4897,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.499715,0.0003,-0.0002,-0.0001,0.0200,1724235887.4997,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.507760,0.0000,0.0000,0.0000,0.0000,1724235887.5078,399.9991,-198.5617,-90.8900
2024-8-21_18:24:47.509711,0.0001,0.0001,0.0001,-0.0100,1724235887.5097,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.519714,0.0000,0.0000,0.0000,0.0000,1724235887.5197,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.527861,0.0000,0.0000,0.0000,0.0000,1724235887.5279,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.529712,0.0003,0.0002,0.0001,-0.0200,1724235887.5297,399.9994,-198.5615,-90.9200
2024-8-21_18:24:47.539770,0.0001,-0.0001,-0.0001,0.0100,1724235887.5398,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.547650,0.0000,0.0000,0.0000,0.0000,1724235887.5477,399.9993,-198.5615,-90.9100
2024-8-21_18:24:47.549708,0.0003,-0.0001,-0.0003,0.0100,1724235887.5497,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.559710,0.0000,0.0000,0.0000,0.0000,1724235887.5597,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.567688,0.0000,0.0000,0.0000,0.0000,1724235887.5677,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.569669,0.0003,-0.0002,0.0001,0.0200,1724235887.5697,399.9989,-198.5617,-90.8800
2024-8-21_18:24:47.579705,0.0003,0.0002,0.0001,-0.0200,1724235887.5797,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.587772,0.0000,0.0000,0.0000,0.0000,1724235887.5878,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.589707,0.0003,-0.0002,-0.0001,0.0200,1724235887.5897,399.9989,-198.5617,-90.8800
2024-8-21_18:24:47.599783,0.0003,0.0002,0.0001,-0.0200,1724235887.5998,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.607737,0.0000,0.0000,0.0000,0.0000,1724235887.6077,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.609715,0.0002,-0.0000,-0.0002,0.0000,1724235887.6097,399.9992,-198.5618,-90.9000
2024-8-21_18:24:47.619735,0.0002,0.0000,0.0002,0.0000,1724235887.6197,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.628013,0.0000,0.0000,0.0000,0.0000,1724235887.6280,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.629733,0.0002,0.0001,-0.0001,-0.0100,1724235887.6297,399.9993,-198.5617,-90.9100
2024-8-21_18:24:47.639759,0.0002,-0.0001,0.0001,0.0100,1724235887.6398,399.9992,-198.5616,-90.9000
2024-8-21_18:24:47.647929,0.0000,0.0000,0.0000,0.0000,1724235887.6479,399.9992,-198.5616,-90.9000
