1 0 0 25.687 3.479 0.009 
7 8 3 100101 0 0 0
7 9 1 100100 0 0 0
7 9 2 100107 0 0 0
7 9 3 100106 0 0 0
7 10 1 100105 0 0 0
7 10 2 100104 0 0 0
7 10 3 100111 0 0 0
7 11 1 100110 0 0 0
7 11 2 100109 0 0 0
7 11 3 100108 0 0 0
7 12 1 100059 0 0 0
7 12 2 100058 0 0 0
7 12 3 100057 0 0 0
7 13 1 100056 0 0 0
7 13 2 100063 0 0 0
7 13 3 100062 0 0 0
7 14 1 100061 0 0 0
7 14 2 100060 0 0 0
7 14 3 100067 0 0 0
7 15 1 100066 0 0 0
7 15 2 100065 0 0 0
7 15 3 100064 0 0 0
7 16 1 100071 0 0 0
7 16 2 100070 0 0 0
7 16 3 100069 0 0 0
7 17 1 100075 0 0 0
7 17 2 100079 0 0 0
7 17 3 100068 0 0 0
7 18 1 100083 0 0 0
7 18 2 100074 0 0 0
7 18 3 100078 0 0 0
7 19 1 100082 0 0 0
7 19 2 100073 0 0 0
7 19 3 100072 0 0 0
7 20 1 100077 0 0 0
7 20 2 100076 0 0 0
7 20 3 100081 0 0 0
7 21 1 100080 0 0 0
7 21 2 101706 0 0 0
7 21 3 101707 0 0 0
7 22 1 101708 0 0 0
7 22 2 101709 0 0 0
7 22 3 101710 0 0 0
      
      
8 0 0 25.776 -8.4 0.009 
8 0 1 102246 4.04 0.3 0
8 0 2 102247 4.04 0.24 0
8 1 1 102187 0 0 0
8 1 2 101676 0 0 0
8 1 3 102155 0 0 0
8 2 1 101675 0 0 0
8 2 2 101674 0 0 0
8 2 3 101673 0 0 0
8 3 1 101672 0 0 0
8 3 2 100168 0 0 0
8 3 3 100169 0 0 0
8 4 1 100170 0 0 0
8 4 2 100171 0 0 0
8 4 3 100172 0 0 0
8 5 1 100173 0 0 0
8 5 2 100174 0 0 0
8 5 3 100175 0 0 0
8 6 1 100176 0 0 0
8 6 2 100177 0 0 0
8 6 3 100178 0 0 0
8 7 1 100179 0 0 0
8 7 2 100180 0 0 0
8 7 3 100181 0 0 0
8 8 1 100182 0 0 0
8 8 2 100183 0 0 0
8 8 3 100184 0 0 0
8 9 1 100185 0 0 0
8 9 2 100186 0 0 0
8 9 3 100187 0 0 0
8 10 1 100188 0 0 0
8 10 2 100189 0 0 0
8 10 3 100190 0 0 0
8 11 1 100191 0 0 0
8 11 2 100192 0 0 0
8 11 3 100193 0 0 0
8 12 1 100194 0 0 0
8 12 2 100195 0 0 0
8 12 3 100028 0 0 0
8 13 1 100029 0 0 0
8 13 2 100030 0 0 0
8 13 3 100031 0 0 0
8 14 1 100032 0 0 0
8 14 2 100033 0 0 0
8 14 3 102688 0 0 0
8 15 1 102689 0 0 0
8 15 2 102690 0 0 0
8 15 3 102691 0 0 0
8 16 1 102692 0 0 0
8 16 2 102693 0 0 0
8 16 3 102694 0 0 0
8 17 1 102695 0 0 0
8 17 2 102696 0 0 0
8 17 3 102697 0 0 0
8 18 1 102698 0 0 0
8 18 2 102699 0 0 0
8 18 3 100252 0 0 0
8 19 1 100253 0 0 0
8 19 2 100254 0 0 0
8 19 3 100255 0 0 0
8 20 1 100256 0 0 0
8 20 2 100257 0 0 0
8 20 3 100258 0 0 0
8 21 1 100259 0 0 0
8 21 2 101705 0 0 0
8 21 3 101704 0 0 0
8 22 1 101703 0 0 0
8 22 2 101702 0 0 0
8 22 3 101701 0 0 0
      
      
      
9 0 0 25.804 -10.102 0.009 
9 0 1 102250 4.04 0.3 0
9 0 2 102249 4.04 0.24 0
9 1 1 101683 0 0 0
9 1 2 101682 0 0 0
9 1 3 101681 0 0 0
9 2 1 101680 0 0 0
9 2 2 101679 0 0 0
9 2 3 101678 0 0 0
9 3 1 101677 0 0 0
9 3 2 100308 0 0 0
9 3 3 100309 0 0 0
9 4 1 100310 0 0 0
9 4 2 100311 0 0 0
9 4 3 100312 0 0 0
9 5 1 100313 0 0 0
9 5 2 100314 0 0 0
9 5 3 100315 0 0 0
9 6 1 100316 0 0 0
9 6 2 100317 0 0 0
9 6 3 100318 0 0 0
9 7 1 100319 0 0 0
9 7 2 100320 0 0 0
9 7 3 100321 0 0 0
9 8 1 100322 0 0 0
