QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:6:24.4138 100325 0.0715479 | 0.0624772 -0.0348671 0.675182 | 7.6807 -0.273067 -0.852697 | 7.61822 -0.2382 -1.52788
2024-5-18_22:6:24.4228 100325 0.0356017 | 0.0244213 -0.0259053 0.410657 | 7.6913 -0.268348 -1.2027 | 7.66688 -0.242443 -1.61335
2024-5-18_22:6:24.4339 100325 0.029991 | 0.0218602 -0.0205327 0.0437143 | 7.70183 -0.263277 -1.5727 | 7.67997 -0.242745 -1.61641
2024-5-18_22:6:24.4418 100325 0.0253187 | 0.0197676 -0.0158202 -0.319625 | 7.71258 -0.258796 -1.9427 | 7.69281 -0.242976 -1.62307
2024-5-18_22:6:24.4538 100325 0.0229131 | 0.0185837 -0.0134036 -0.506472 | 7.72432 -0.256673 -2.1327 | 7.70573 -0.24327 -1.62622
2024-5-18_22:6:24.4618 100325 0.0200132 | 0.0170341 -0.0105055 -0.738222 | 7.73563 -0.254093 -2.3627 | 7.7186 -0.243587 -1.62448
2024-5-18_22:6:24.4788 100325 0.00683409 | 0.00249085 -0.006364 -1.05232 | 7.74697 -0.250583 -2.6727 | 7.74448 -0.244219 -1.62038
2024-5-18_22:6:24.4929 100325 0.00239803 | 0.000641739 -0.00231056 -1.3835 | 7.75801 -0.246936 -3.0027 | 7.75736 -0.244625 -1.61919
2024-5-18_22:6:24.5028 100325 0.0126895 | 0.0126554 -0.000928922 -1.5635 | 7.77002 -0.245554 -3.1827 | 7.75736 -0.244625 -1.61919
2024-5-18_22:6:24.5128 100325 0.0238058 | 0.0236637 0.00259655 -1.9035 | 7.78103 -0.242029 -3.5227 | 7.75736 -0.244625 -1.61919
2024-5-18_22:6:24.5238 100325 0.00883905 | -0.00538387 0.00701019 -2.18747 | 7.79254 -0.240087 -3.7627 | 7.79792 -0.247097 -1.57523
2024-5-18_22:6:25.1638 100324 0.0476187 | 0.0382553 -0.0283562 1.51893 | 8.67841 -0.314145 -0.182697 | 8.64015 -0.285789 -1.70163
2024-5-18_22:6:25.1828 100324 0.0399213 | 0.034478 -0.0201241 0.968294 | 8.7011 -0.306484 -0.742697 | 8.66662 -0.28636 -1.71099
2024-5-18_22:6:25.1929 100324 0.034863 | 0.0319826 -0.0138759 0.52046 | 8.71194 -0.300518 -1.1927 | 8.67995 -0.286642 -1.71316
2024-5-18_22:6:25.2038 100324 0.0457117 | 0.0442503 -0.0114661 0.32046 | 8.7242 -0.298108 -1.3927 | 8.67995 -0.286642 -1.71316
2024-5-18_22:6:25.2118 100324 0.0561578 | 0.0556996 -0.0071591 -0.0295398 | 8.73565 -0.293801 -1.7427 | 8.67995 -0.286642 -1.71316
2024-5-18_22:6:25.2238 100324 0.0264627 | 0.0260969 -0.00438472 -0.411191 | 8.74733 -0.28987 -2.0927 | 8.72123 -0.285485 -1.68151
2024-5-18_22:6:25.2318 100324 0.0245078 | 0.0245038 -0.000443848 -0.726224 | 8.7592 -0.286262 -2.4127 | 8.73469 -0.285818 -1.68647
2024-5-18_22:6:25.2438 100324 0.0235882 | 0.0235145 0.00186302 -0.942973 | 8.7716 -0.284276 -2.6327 | 8.74809 -0.286139 -1.68972
2024-5-18_22:6:25.2518 100324 0.022407 | 0.0213044 0.00694247 -1.37578 | 8.7827 -0.279554 -3.0627 | 8.7614 -0.286497 -1.68691
2024-5-18_22:6:25.2638 100324 0.0219365 | 0.0201252 0.00872852 -1.57053 | 8.79485 -0.278154 -3.2527 | 8.77473 -0.286883 -1.68217
2024-5-18_22:6:25.8928 100323 0.0489814 | 0.0420755 -0.0250766 1.17231 | 9.67049 -0.338723 -0.352697 | 9.62842 -0.313646 -1.52501
2024-5-18_22:6:25.9039 100323 0.0570685 | 0.0529912 -0.0211836 0.892313 | 9.68141 -0.33483 -0.632697 | 9.62842 -0.313646 -1.52501
2024-5-18_22:6:25.9138 100323 0.0658013 | 0.0638426 -0.0159354 0.522313 | 9.69226 -0.329582 -1.0027 | 9.62842 -0.313646 -1.52501
2024-5-18_22:6:25.9239 100323 0.0245332 | 0.0204052 -0.01362 0.214301 | 9.7038 -0.325814 -1.2927 | 9.68339 -0.312194 -1.507
2024-5-18_22:6:25.9318 100323 0.0209517 | 0.0184037 -0.0100139 -0.0480401 | 9.71531 -0.322573 -1.5527 | 9.69691 -0.312559 -1.50466
2024-5-18_22:6:25.9418 100323 0.0175575 | 0.0164939 -0.00601804 -0.348358 | 9.72683 -0.318914 -1.8527 | 9.71033 -0.312896 -1.50434
2024-5-18_22:6:25.9519 100323 0.0147329 | 0.0145016 -0.00260085 -0.612438 | 9.73815 -0.315897 -2.1127 | 9.72365 -0.313296 -1.50026
2024-5-18_22:6:25.9638 100323 0.0126535 | 0.0126003 0.00115949 -0.910169 | 9.74954 -0.312607 -2.4027 | 9.73694 -0.313767 -1.49253
2024-5-18_22:6:25.9718 100323 0.0118563 | 0.0109492 0.00454826 -1.18901 | 9.76126 -0.309707 -2.6727 | 9.75031 -0.314255 -1.48369
2024-5-18_22:6:25.9838 100323 0.0121403 | 0.00938851 0.00769695 -1.45951 | 9.77325 -0.307061 -2.9327 | 9.76386 -0.314758 -1.47319
2024-5-18_22:6:25.9918 100323 0.0132726 | 0.00739484 0.0110217 -1.75163 | 9.78494 -0.30427 -3.2127 | 9.77754 -0.315292 -1.46107
2024-5-18_22:6:26.0038 100323 0.0229977 | 0.0187058 0.0133786 -2.02163 | 9.79625 -0.301914 -3.4827 | 9.77754 -0.315292 -1.46107
2024-5-18_22:6:26.6338 100322 0.0444913 | 0.0417267 -0.0154389 0.895521 | 10.6726 -0.357257 -0.342697 | 10.6309 -0.341818 -1.23822
2024-5-18_22:6:26.6428 100322 0.0418996 | 0.0399627 -0.012592 0.723405 | 10.6842 -0.354713 -0.512697 | 10.6442 -0.342121 -1.2361
2024-5-18_22:6:26.6518 100322 0.038652 | 0.0378375 -0.00789305 0.429067 | 10.6955 -0.350357 -0.802697 | 10.6577 -0.342464 -1.23176
2024-5-18_22:6:26.6639 100322 0.0368787 | 0.0365644 -0.00480473 0.210599 | 10.7077 -0.347663 -1.0127 | 10.6712 -0.342859 -1.2233
2024-5-18_22:6:26.6728 100322 0.0349108 | 0.034906 -0.000575807 -0.100668 | 10.7197 -0.343852 -1.3127 | 10.6848 -0.343276 -1.21203
2024-5-18_22:6:26.6838 100322 0.0338219 | 0.0337159 0.00267508 -0.331422 | 10.7321 -0.341023 -1.5327 | 10.6984 -0.343698 -1.20128
2024-5-18_22:6:26.6918 100322 0.0326324 | 0.0319436 0.00666897 -0.642134 | 10.7441 -0.337463 -1.8327 | 10.7121 -0.344131 -1.19056
2024-5-18_22:6:26.7039 100322 0.0453828 | 0.0443618 0.00957221 -0.902134 | 10.7565 -0.334559 -2.0927 | 10.7121 -0.344131 -1.19056
2024-5-18_22:6:26.7118 100322 0.0582293 | 0.0567929 0.012854 -1.20213 | 10.7689 -0.331277 -2.3927 | 10.7121 -0.344131 -1.19056
2024-5-18_22:6:26.7238 100322 0.0257246 | 0.0229455 0.01163 -1.5233 | 10.7815 -0.328995 -2.6227 | 10.7586 -0.340625 -1.0994
2024-5-18_22:6:26.7318 100322 0.0258663 | 0.0223193 0.0130735 -1.68912 | 10.7945 -0.327891 -2.7827 | 10.7721 -0.340964 -1.09358
