QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4711 -0.71502 178.953
100321 7.45403 -0.624737 178.79
100322 11.5154 -0.0231631 178.662
100330 7.50464 0.0814448 177.54
MV_SC2005AM Start

 init 

2024-5-18_22:12:56.4007 100317 0.0204289 | 0.0201598 -0.00330469 -0.774436 | 12.2355 -0.331779 -179.793 | 12.2154 -0.328475 -179.018
2024-5-18_22:12:56.4107 100317 0.0201711 | 0.0199604 -0.00290752 -0.744436 | 12.2353 -0.331382 -179.763 | 12.2154 -0.328475 -179.018
2024-5-18_22:12:56.4207 100317 0.0165087 | 0.0159801 -0.0041443 -0.734614 | 12.2353 -0.33125 -179.753 | 12.2193 -0.327106 -179.018
2024-5-18_22:12:56.4307 100317 0.0169737 | 0.0163864 -0.00442619 -0.76486 | 12.2355 -0.331647 -179.783 | 12.2191 -0.327221 -179.018
2024-5-18_22:12:56.4407 100317 0.0171372 | 0.0165829 -0.00432341 -0.765092 | 12.2355 -0.331647 -179.783 | 12.2189 -0.327324 -179.018
2024-5-18_22:12:56.4507 100317 0.0178075 | 0.0171093 -0.00493728 -0.815037 | 12.2358 -0.332309 -179.833 | 12.2187 -0.327372 -179.018
2024-5-18_22:12:56.4607 100317 0.0180009 | 0.0173077 -0.00494727 -0.814887 | 12.2358 -0.332309 -179.833 | 12.2185 -0.327362 -179.018
2024-5-18_22:12:56.4707 100317 0.0182986 | 0.0175772 -0.00508733 -0.824532 | 12.2359 -0.332442 -179.843 | 12.2183 -0.327354 -179.018
2024-5-18_22:12:56.4807 100317 0.0183001 | 0.0175792 -0.00508558 -0.824095 | 12.2357 -0.332442 -179.843 | 12.2181 -0.327357 -179.019
2024-5-18_22:12:56.4927 100317 0.0188646 | 0.0180245 -0.00556711 -0.863849 | 12.2359 -0.332972 -179.883 | 12.2179 -0.327405 -179.019
2024-5-18_22:12:56.5007 100317 0.0189382 | 0.0181113 -0.00553519 -0.863384 | 12.2359 -0.332972 -179.883 | 12.2178 -0.327437 -179.019
2024-5-18_22:12:56.5107 100317 0.0176653 | 0.0172486 -0.003814 -0.733384 | 12.2351 -0.331251 -179.753 | 12.2178 -0.327437 -179.019
2024-5-18_22:12:56.5207 100317 0.0181601 | 0.0174557 -0.00500854 -0.833562 | 12.2357 -0.332575 -179.853 | 12.2183 -0.327566 -179.019
2024-5-18_22:12:56.5307 100317 0.0183302 | 0.017657 -0.0049222 -0.833507 | 12.2357 -0.332575 -179.853 | 12.2181 -0.327652 -179.019
2024-5-18_22:12:56.5407 100317 0.0186864 | 0.0179802 -0.00508852 -0.853357 | 12.2358 -0.332839 -179.873 | 12.2179 -0.327751 -179.019
2024-5-18_22:12:56.5507 100317 0.0195482 | 0.0186235 -0.00594106 -0.923302 | 12.2363 -0.333767 -179.943 | 12.2177 -0.327826 -179.019
2024-5-18_22:12:56.5607 100317 0.0187188 | 0.0181543 -0.00456255 -0.823152 | 12.2357 -0.332442 -179.843 | 12.2175 -0.32788 -179.02
