QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:0:57.238 100317 0.0115056 | -0.00271654 -0.0111803 -1.54249 | 12.2404 -0.392678 175.489 | 12.2431 -0.381498 177.031
2024-5-19_12:0:57.248 100317 0.014369 | -0.00243316 -0.0141615 -1.80437 | 12.2288 -0.395087 175.239 | 12.2313 -0.380926 177.043
2024-5-19_12:0:57.267 100317 0.019929 | 0.00991064 -0.01729 -2.06373 | 12.2172 -0.397047 174.999 | 12.2073 -0.379757 177.063
2024-5-19_12:0:57.28 100317 0.02336 | 0.0110873 -0.0205612 -2.37482 | 12.2064 -0.399691 174.699 | 12.1953 -0.37913 177.074
2024-5-19_12:0:57.981 100318 0.0296633 | -0.0166247 0.0245668 0.452786 | 11.3199 -0.326049 178.379 | 11.3365 -0.350616 177.926
2024-5-19_12:0:57.99 100318 0.0304176 | -0.0212036 0.0218092 0.239235 | 11.3089 -0.328692 178.169 | 11.3301 -0.350501 177.93
2024-5-19_12:0:58 100318 0.0194725 | -0.0145179 0.0129772 0.0543857 | 11.2976 -0.330687 177.999 | 11.3121 -0.343664 177.944
2024-5-19_12:0:58.008 100318 0.0152027 | -0.0122943 0.00894275 -0.271584 | 11.287 -0.334466 177.679 | 11.2993 -0.343409 177.95
2024-5-19_12:0:58.02 100318 0.0128594 | -0.0110592 0.00656184 -0.47116 | 11.2755 -0.336546 177.489 | 11.2865 -0.343108 177.96
2024-5-19_12:0:58.028 100318 0.00978993 | -0.00926007 0.00317707 -0.750941 | 11.2643 -0.339622 177.219 | 11.2736 -0.342799 177.97
2024-5-19_12:0:58.04 100318 0.00710306 | -0.00707699 -0.000608046 -1.06837 | 11.2537 -0.343129 176.909 | 11.2607 -0.342521 177.977
2024-5-19_12:0:58.048 100318 0.00657412 | -0.00551145 -0.0035837 -1.33501 | 11.2422 -0.345831 176.649 | 11.2478 -0.342247 177.984
2024-5-19_12:0:58.06 100318 0.00777886 | -0.00408939 -0.00661721 -1.62136 | 11.2307 -0.348666 176.369 | 11.2348 -0.342049 177.99
2024-5-19_12:0:58.07 100318 0.00918023 | -0.00268568 -0.0087786 -1.86717 | 11.2192 -0.350671 176.129 | 11.2219 -0.341893 177.996
2024-5-19_12:0:58.079 100318 0.0121964 | -0.00081501 -0.0121691 -2.20068 | 11.2082 -0.353915 175.799 | 11.209 -0.341746 178
2024-5-19_12:0:58.741 100316 0.0419514 | -0.0162079 0.038694 1.03179 | 10.3229 -0.283079 179.509 | 10.3391 -0.321773 178.477
2024-5-19_12:0:58.75 100316 0.0369891 | -0.013176 0.0345628 0.735661 | 10.3126 -0.286905 179.219 | 10.3258 -0.321468 178.483
2024-5-19_12:0:58.759 100316 0.0299862 | -0.00967582 0.0283822 0.288271 | 10.3029 -0.292731 178.779 | 10.3126 -0.321113 178.491
2024-5-19_12:0:58.77 100316 0.0266469 | -0.00812583 0.0253777 0.0747467 | 10.2911 -0.295374 178.569 | 10.2992 -0.320752 178.494
2024-5-19_12:0:58.778 100316 0.0223603 | -0.00612912 0.0215039 -0.224065 | 10.2796 -0.29894 178.269 | 10.2857 -0.320444 178.493
2024-5-19_12:0:58.788 100316 0.0224731 | -0.0164806 0.0152784 -0.714065 | 10.2692 -0.305165 177.779 | 10.2857 -0.320444 178.493
2024-5-19_12:0:58.798 100316 0.0101632 | -0.00272391 0.00979139 -1.05802 | 10.2584 -0.309644 177.389 | 10.2612 -0.319435 178.447
2024-5-19_12:0:58.81 100316 0.0100277 | -0.00256442 0.00969425 -1.08784 | 10.2452 -0.309428 177.359 | 10.2478 -0.319122 178.447
2024-5-19_12:0:58.829 100316 0.0141801 | 0.0139419 0.00258787 -1.65915 | 10.2351 -0.315956 176.789 | 10.2211 -0.318544 178.448
2024-5-19_12:0:58.8381 100316 0.0162498 | 0.0161553 -0.00174972 -2.03572 | 10.2239 -0.319922 176.419 | 10.2077 -0.318173 178.455
2024-5-19_12:0:58.848 100316 0.0176101 | 0.0171894 -0.00382607 -2.24483 | 10.2115 -0.321581 176.219 | 10.1943 -0.317755 178.464
2024-5-19_12:0:58.8599 100316 0.0197379 | 0.0186901 -0.00634525 -2.49375 | 10.1995 -0.323657 175.979 | 10.1809 -0.317312 178.473
2024-5-19_12:0:59.491 100320 0.0609999 | -0.0359354 0.0492914 1.27013 | 9.31804 -0.250926 179.999 | 9.35398 -0.300217 178.729
2024-5-19_12:0:59.5 100320 0.0638742 | -0.0463306 0.0439704 0.88013 | 9.30765 -0.256247 179.609 | 9.35398 -0.300217 178.729
2024-5-19_12:0:59.51 100320 0.0418006 | -0.0178888 0.0377794 0.688584 | 9.29591 -0.259021 179.389 | 9.3138 -0.296801 178.7
2024-5-19_12:0:59.5189 100320 0.0377271 | -0.0161858 0.0340787 0.425073 | 9.28426 -0.262604 179.119 | 9.30045 -0.296683 178.694
2024-5-19_12:0:59.53 100320 0.0340296 | -0.0147591 0.0306624 0.158201 | 9.27261 -0.265852 178.849 | 9.28737 -0.296515 178.691
2024-5-19_12:0:59.538 100320 0.0282596 | -0.0125924 0.0252989 -0.262373 | 9.26167 -0.270989 178.429 | 9.27427 -0.296288 178.691
2024-5-19_12:0:59.55 100320 0.024189 | -0.0108733 0.0216074 -0.567468 | 9.25017 -0.274366 178.129 | 9.26105 -0.295974 178.696
2024-5-19_12:0:59.558 100320 0.0200635 | -0.00952225 0.0176599 -0.885555 | 9.23829 -0.277944 177.819 | 9.24781 -0.295603 178.704
2024-5-19_12:0:59.57 100320 0.0164691 | -0.00832247 0.0142115 -1.19057 | 9.22612 -0.281028 177.519 | 9.23444 -0.29524 178.709
2024-5-19_12:0:59.578 100320 0.0127696 | -0.00694073 0.0107186 -1.51055 | 9.21406 -0.284228 177.199 | 9.221 -0.294946 178.709
2024-5-19_12:0:59.59 100320 0.0216687 | -0.0197417 0.00893301 -1.71055 | 9.20126 -0.286013 176.999 | 9.221 -0.294946 178.709
2024-5-19_12:1:0.240959 100321 0.0335181 | -0.0154967 0.0297206 0.781972 | 8.31288 -0.230468 179.479 | 8.32837 -0.260189 178.697
2024-5-19_12:1:0.250087 100321 0.029261 | -0.0139329 0.0257309 0.502204 | 8.30089 -0.234069 179.199 | 8.31482 -0.2598 178.697
2024-5-19_12:1:0.259975 100321 0.0216685 | -0.0109256 0.0187125 -0.00660724 | 8.29036 -0.240741 178.689 | 8.30128 -0.259454 178.695
2024-5-19_12:1:0.268951 100321 0.0187745 | -0.010238 0.0157374 -0.214394 | 8.27746 -0.243288 178.479 | 8.28769 -0.259025 178.693
2024-5-19_12:1:0.27996 100321 0.0125084 | -0.00793061 0.00967297 -0.67352 | 8.26611 -0.248888 178.019 | 8.27404 -0.258561 178.692
2024-5-19_12:1:0.288952 100321 0.0226082 | -0.0210963 0.00812879 -0.84352 | 8.25295 -0.250432 177.849 | 8.27404 -0.258561 178.692
2024-5-19_12:1:0.299953 100321 0.0334958 | -0.033248 0.00406669 -1.21352 | 8.2408 -0.254494 177.479 | 8.27404 -0.258561 178.692
2024-5-19_12:1:0.307957 100321 0.00625022 | -0.00356627 0.00513292 -1.69639 | 8.22938 -0.259551 177.019 | 8.23295 -0.264684 178.715
2024-5-19_12:1:0.319987 100321 0.0029811 | -0.00252827 0.00157951 -2.00613 | 8.21681 -0.26271 176.709 | 8.21934 -0.26429 178.715
2024-5-19_12:1:0.328989 100321 0.00331328 | -0.000706846 -0.003237 -2.4277 | 8.2051 -0.267103 176.289 | 8.2058 -0.263866 178.717
