QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0 0
100302 1 0 0
100303 1 0.767 0
100304 3 0 0
100305 5 0 0
100306 7 0 0
100307 9 0 0
100308 11 0 0
100312 13 0 0
100313 15 0 0
100314 17 0 0
100315 19 0 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 5
100301 311.63 -188.393 -92.4728
100327 312.397 -188.417 -92.4406
100329 307.938 -166.365 -90.2368
100336 311.007 -208.295 -91.8847
100337 311.848 -208.317 -91.2286
MV_SC2005AM Start

 init 

2024-5-17 17:4:1.62354 100331 0.0661744 | 0.0497706 -0.0436113 0.0426235 | 311.704 -200.548 -91.5438 | 311.654 -200.505 -91.5864
2024-5-17 17:4:1.63255 100331 0.0667611 | 0.052077 -0.0417736 -0.11834 | 311.706 -200.562 -91.7038 | 311.654 -200.52 -91.5855
2024-5-17 17:4:1.64356 100331 0.0671035 | 0.0534091 -0.0406245 -0.220942 | 311.707 -200.576 -91.8038 | 311.653 -200.536 -91.5829
2024-5-17 17:4:1.66155 100331 0.0602623 | 0.0553813 -0.0237583 -0.362151 | 311.708 -200.591 -91.9438 | 311.652 -200.567 -91.5816
2024-5-17 17:4:1.67255 100331 0.0617933 | 0.0577367 -0.0220202 -0.552417 | 311.71 -200.604 -92.1338 | 311.652 -200.582 -91.5814
2024-5-17 17:4:1.68157 100331 0.0639689 | 0.0607378 -0.0200736 -0.81325 | 311.713 -200.618 -92.3938 | 311.652 -200.598 -91.5805
2024-5-17 17:4:1.69255 100331 0.066037 | 0.05992 -0.0277574 -0.783694 | 311.711 -200.634 -92.3638 | 311.652 -200.606 -91.5801
2024-5-17 17:4:1.70155 100331 0.0730805 | 0.0653531 -0.0327066 -1.25393 | 311.717 -200.647 -92.8338 | 311.651 -200.614 -91.5799
2024-5-17 17:4:1.71355 100331 0.0809418 | 0.0653528 -0.0477554 -1.33393 | 311.717 -200.662 -92.9138 | 311.651 -200.614 -91.5799
2024-5-17 17:4:2.90355 100340 0.0844761 | 0.0406815 -0.0740353 -0.167743 | 311.649 -202.532 -91.8238 | 311.608 -202.458 -91.6561
2024-5-17 17:4:2.91355 100340 0.097661 | 0.0437902 -0.0872932 -0.417743 | 311.652 -202.545 -92.0738 | 311.608 -202.458 -91.6561
2024-5-17 17:4:2.92154 100340 0.0810377 | 0.0550947 -0.059428 -0.49512 | 311.652 -202.56 -92.1538 | 311.597 -202.501 -91.6587
2024-5-17 17:4:2.93358 100340 0.0823383 | 0.0589871 -0.0574465 -0.77499 | 311.656 -202.574 -92.4338 | 311.597 -202.517 -91.6588
2024-5-17 17:4:2.94156 100340 0.0888833 | 0.0611507 -0.0645045 -0.985031 | 311.658 -202.589 -92.6438 | 311.597 -202.524 -91.6588
2024-5-17 17:4:2.96254 100340 0.075457 | 0.0638127 -0.0402703 -1.15611 | 311.659 -202.604 -92.8138 | 311.595 -202.563 -91.6577
2024-5-17 17:4:2.97154 100340 0.0771574 | 0.0664949 -0.0391369 -1.39111 | 311.662 -202.618 -93.0438 | 311.595 -202.579 -91.6527
2024-5-17 17:4:2.98355 100340 0.0786577 | 0.0685542 -0.0385662 -1.60166 | 311.663 -202.633 -93.2438 | 311.594 -202.595 -91.6421
2024-5-17 17:4:2.9916 100340 0.0838538 | 0.0701321 -0.0459668 -1.77737 | 311.664 -202.648 -93.4138 | 311.594 -202.602 -91.6364
2024-5-17 17:4:3.00358 100340 0.0900601 | 0.0733445 -0.0522629 -2.11251 | 311.667 -202.663 -93.7438 | 311.594 -202.61 -91.6313
2024-5-17 17:4:4.17357 100339 0.0753135 | -0.00314236 -0.0752479 0.346464 | 311.574 -204.528 -91.4438 | 311.577 -204.453 -91.7903
2024-5-17 17:4:4.18354 100339 0.0730053 | -0.000319089 -0.0730046 0.135501 | 311.576 -204.542 -91.6538 | 311.577 -204.469 -91.7893
