QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:57:33.2266 100325 0.0230363 | 0.0113453 -0.0200489 0.736479 | 7.6763 -0.279683 -3.34785 | 7.66495 -0.259634 -4.08433
2024-5-19_13:57:33.2386 100325 0.0241502 | 0.0118289 -0.0210549 0.806692 | 7.67671 -0.280677 -3.27785 | 7.66488 -0.259622 -4.08454
2024-5-19_13:57:33.2476 100325 0.0238589 | 0.0117707 -0.0207533 0.786518 | 7.67659 -0.280393 -3.29785 | 7.66482 -0.25964 -4.08437
2024-5-19_13:57:33.2586 100325 0.0233843 | 0.0116368 -0.0202833 0.756537 | 7.67641 -0.279967 -3.32785 | 7.66478 -0.259684 -4.08439
2024-5-19_13:57:33.2666 100325 0.0233136 | 0.0118278 -0.0200904 0.746555 | 7.67657 -0.279838 -3.33785 | 7.66474 -0.259747 -4.08441
2024-5-19_13:57:33.2786 100325 0.023266 | 0.0118431 -0.0200262 0.745898 | 7.67657 -0.279838 -3.33785 | 7.66472 -0.259811 -4.08375
2024-5-19_13:57:33.2866 100325 0.0233915 | 0.01191 -0.0201325 0.754763 | 7.67663 -0.279979 -3.32785 | 7.66472 -0.259847 -4.08261
2024-5-19_13:57:33.2987 100325 0.0232612 | 0.0117055 -0.0201014 0.753625 | 7.67641 -0.279967 -3.32785 | 7.66471 -0.259866 -4.08148
2024-5-19_13:57:33.3096 100325 0.0239872 | 0.0121667 -0.0206726 0.793154 | 7.67686 -0.280547 -3.28785 | 7.66469 -0.259874 -4.081
2024-5-19_13:57:33.3186 100325 0.0235344 | 0.0120035 -0.0202431 0.762775 | 7.67668 -0.280121 -3.31785 | 7.66468 -0.259878 -4.08063
2024-5-19_13:57:33.3266 100325 0.0235957 | 0.011616 -0.0205384 0.77158 | 7.67674 -0.280263 -3.30785 | 7.66513 -0.259725 -4.07943
2024-5-19_13:57:33.3386 100325 0.0233604 | 0.0115461 -0.0203075 0.751983 | 7.67663 -0.279979 -3.32785 | 7.66508 -0.259672 -4.07983
2024-5-19_13:57:33.3466 100325 0.0235787 | 0.0114787 -0.020596 0.771811 | 7.67653 -0.280251 -3.30785 | 7.66505 -0.259655 -4.07966
2024-5-19_13:57:33.3586 100325 0.0234747 | 0.0114505 -0.0204927 0.76183 | 7.67647 -0.280109 -3.31785 | 7.66502 -0.259616 -4.07968
2024-5-19_13:57:33.3696 100325 0.0239469 | 0.0117898 -0.0208436 0.781655 | 7.6768 -0.280405 -3.29785 | 7.66501 -0.259562 -4.07951
2024-5-19_13:57:33.3786 100325 0.0238212 | 0.0117386 -0.0207281 0.771289 | 7.67674 -0.280263 -3.30785 | 7.665 -0.259535 -4.07914
2024-5-19_13:57:33.3876 100325 0.0244386 | 0.0119993 -0.0212899 0.811306 | 7.67698 -0.280831 -3.26785 | 7.66498 -0.259541 -4.07916
2024-5-19_13:57:33.3986 100325 0.0237086 | 0.0117375 -0.0205992 0.761422 | 7.67668 -0.280121 -3.31785 | 7.66495 -0.259522 -4.07927
2024-5-19_13:57:33.4067 100325 0.0236341 | 0.0115401 -0.0206251 0.761622 | 7.67647 -0.280109 -3.31785 | 7.66493 -0.259484 -4.07947
2024-5-19_13:57:33.4186 100325 0.0235125 | 0.011498 -0.0205093 0.751727 | 7.67641 -0.279967 -3.32785 | 7.66492 -0.259458 -4.07958
2024-5-19_13:57:33.4266 100325 0.0242556 | 0.011672 -0.0212626 0.785855 | 7.6768 -0.280405 -3.29785 | 7.66513 -0.259143 -4.08371
2024-5-19_13:57:33.4386 100325 0.024029 | 0.0116369 -0.0210232 0.766073 | 7.67668 -0.280121 -3.31785 | 7.66505 -0.259098 -4.08392
2024-5-19_13:57:33.4466 100325 0.0243276 | 0.0117931 -0.021278 0.785043 | 7.6768 -0.280405 -3.29785 | 7.66501 -0.259127 -4.08289
2024-5-19_13:57:33.4586 100325 0.0242607 | 0.0118184 -0.0211875 0.784006 | 7.6768 -0.280405 -3.29785 | 7.66498 -0.259218 -4.08186
2024-5-19_13:57:33.4666 100325 0.0245601 | 0.0119876 -0.0214358 0.80364 | 7.67692 -0.280689 -3.27785 | 7.66493 -0.259253 -4.08149
2024-5-19_13:57:33.4786 100325 0.0232184 | 0.0115325 -0.0201518 0.71347 | 7.67639 -0.279412 -3.36785 | 7.66486 -0.25926 -4.08132
2024-5-19_13:57:33.4897 100325 0.0242897 | 0.0119433 -0.0211506 0.783293 | 7.6768 -0.280405 -3.29785 | 7.66486 -0.259255 -4.08114
2024-5-19_13:57:33.4987 100325 0.023884 | 0.0116026 -0.0208765 0.76331 | 7.67647 -0.280109 -3.31785 | 7.66487 -0.259233 -4.08116
2024-5-19_13:57:33.5067 100325 0.0238861 | 0.0116021 -0.0208791 0.763413 | 7.67647 -0.280109 -3.31785 | 7.66487 -0.25923 -4.08126
2024-5-19_13:57:33.5186 100325 0.0239959 | 0.0118209 -0.0208823 0.763615 | 7.67668 -0.280121 -3.31785 | 7.66486 -0.259239 -4.08147
2024-5-19_13:57:33.5266 100325 0.0236641 | 0.0115992 -0.0206264 0.763542 | 7.67668 -0.280121 -3.31785 | 7.66509 -0.259495 -4.08139
2024-5-19_13:57:33.5396 100325 0.0233924 | 0.0115274 -0.020355 0.743658 | 7.67657 -0.279838 -3.33785 | 7.66504 -0.259483 -4.08151
2024-5-19_13:57:33.5486 100325 0.0236628 | 0.0116439 -0.0205998 0.753773 | 7.67663 -0.279979 -3.32785 | 7.66498 -0.25938 -4.08162
