QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5016 -0.710874 177.568
100321 7.48816 -0.614727 177.653
100322 11.5274 -0.0232202 -179.926
100330 7.48749 0.0878111 177.071
MV_SC2005AM Start

 init 

2024-5-19_12:1:51.3187 100330 0.0143864 | 0.0116818 -0.0083967 -0.137206 | 6.75139 -0.211096 -2.85113 | 6.7397 -0.2027 -2.71392
2024-5-19_12:1:51.3277 100330 0.0137313 | 0.011348 -0.00773113 -0.187184 | 6.75135 -0.210445 -2.90113 | 6.74 -0.202713 -2.71394
2024-5-19_12:1:51.3387 100330 0.0142866 | 0.0115374 -0.00842593 -0.137352 | 6.75181 -0.211118 -2.85113 | 6.74027 -0.202692 -2.71378
2024-5-19_12:1:51.3477 100330 0.0141828 | 0.0114529 -0.00836557 -0.148296 | 6.75197 -0.210996 -2.86113 | 6.74052 -0.20263 -2.71283
2024-5-19_12:1:51.3587 100330 0.0143768 | 0.011659 -0.00841203 -0.148957 | 6.7524 -0.211017 -2.86113 | 6.74074 -0.202605 -2.71217
2024-5-19_12:1:51.3677 100330 0.0142789 | 0.0116293 -0.00828526 -0.159791 | 6.75256 -0.210895 -2.87113 | 6.74093 -0.20261 -2.71134
2024-5-19_12:1:51.3787 100330 0.0143435 | 0.0116737 -0.00833432 -0.160633 | 6.75277 -0.210906 -2.87113 | 6.7411 -0.202572 -2.71049
2024-5-19_12:1:51.3877 100330 0.014226 | 0.0116235 -0.00820206 -0.170633 | 6.75272 -0.210774 -2.88113 | 6.7411 -0.202572 -2.71049
2024-5-19_12:1:51.3987 100330 0.0122717 | 0.00834189 -0.00900037 -0.14593 | 6.75308 -0.211181 -2.85113 | 6.74474 -0.202181 -2.7052
2024-5-19_12:1:51.4077 100330 0.0124411 | 0.00843414 -0.00914588 -0.136098 | 6.75335 -0.211324 -2.84113 | 6.74491 -0.202178 -2.70503
2024-5-19_12:1:51.4167 100330 0.0124043 | 0.00845022 -0.00908076 -0.14569 | 6.75351 -0.211202 -2.85113 | 6.74506 -0.202121 -2.70544
2024-5-19_12:1:51.4297 100330 0.0121352 | 0.00838119 -0.008776 -0.175475 | 6.75357 -0.210816 -2.88113 | 6.74519 -0.20204 -2.70565
2024-5-19_12:1:51.4397 100330 0.0113853 | 0.00813407 -0.00796633 -0.24574 | 6.75343 -0.209902 -2.95113 | 6.7453 -0.201936 -2.70539
2024-5-19_12:1:51.4476 100330 0.0118725 | 0.00820936 -0.00857687 -0.205813 | 6.75363 -0.210431 -2.91113 | 6.74542 -0.201854 -2.70531
2024-5-19_12:1:51.4697 100330 0.0118244 | 0.00816168 -0.00855589 -0.215479 | 6.75379 -0.21031 -2.92113 | 6.74563 -0.201754 -2.70565
2024-5-19_12:1:51.4777 100330 0.0122044 | 0.00822286 -0.00901836 -0.184212 | 6.75394 -0.210706 -2.89113 | 6.74572 -0.201687 -2.70692
2024-5-19_12:1:51.4887 100330 0.0117059 | 0.00818462 -0.00836893 -0.234212 | 6.75391 -0.210056 -2.94113 | 6.74572 -0.201687 -2.70692
2024-5-19_12:1:51.4977 100330 0.0112041 | 0.00865975 -0.00710912 -0.260888 | 6.75376 -0.20966 -2.97113 | 6.7451 -0.202551 -2.71024
2024-5-19_12:1:51.5097 100330 0.0117161 | 0.00883405 -0.00769581 -0.220288 | 6.75396 -0.210188 -2.93113 | 6.74512 -0.202493 -2.71084
2024-5-19_12:1:51.5177 100330 0.0122526 | 0.00905641 -0.0082528 -0.178918 | 6.75416 -0.210716 -2.89113 | 6.7451 -0.202464 -2.71221
2024-5-19_12:1:51.5297 100330 0.012364 | 0.0091774 -0.0082852 -0.197729 | 6.75426 -0.21068 -2.91113 | 6.74508 -0.202394 -2.7134
2024-5-19_12:1:51.5377 100330 0.0114863 | 0.00887101 -0.00729653 -0.257326 | 6.75397 -0.209671 -2.97113 | 6.7451 -0.202375 -2.7138
2024-5-19_12:1:51.5497 100330 0.0116447 | 0.00892862 -0.00747525 -0.247305 | 6.75402 -0.209803 -2.96113 | 6.74509 -0.202328 -2.71382
2024-5-19_12:1:51.5577 100330 0.0118792 | 0.00905539 -0.00768871 -0.237179 | 6.75407 -0.209935 -2.95113 | 6.74501 -0.202246 -2.71395
2024-5-19_12:1:51.5697 100330 0.0122309 | 0.00922509 -0.00803079 -0.217158 | 6.75417 -0.210199 -2.93113 | 6.74494 -0.202168 -2.71397
2024-5-19_12:1:51.5777 100330 0.0123542 | 0.00928708 -0.00814724 -0.218384 | 6.75417 -0.210199 -2.93113 | 6.74488 -0.202052 -2.71274
