QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 0
MV_SC2005AM Start

 init 

2024-5-19_11:55:56.4354 100330 0.0134288 | -0.0134066 0.000771663 -1.43923 | 6.79503 -0.205752 -3.4027 | 6.80844 -0.206524 -1.96347
2024-5-19_11:55:56.4454 100330 0.0131943 | -0.0131786 0.000643489 -1.42927 | 6.79402 -0.205812 -3.3927 | 6.8072 -0.206455 -1.96342
2024-5-19_11:55:56.4554 100330 0.0128607 | -0.0128479 0.000575259 -1.40826 | 6.79307 -0.205778 -3.3727 | 6.80592 -0.206353 -1.96444
2024-5-19_11:55:56.4654 100330 0.0126804 | -0.0126573 0.000765918 -1.42781 | 6.79191 -0.20547 -3.3927 | 6.80457 -0.206236 -1.96489
2024-5-19_11:55:56.4754 100330 0.0121805 | -0.0121784 -0.000229309 -1.34709 | 6.79103 -0.206378 -3.3127 | 6.80321 -0.206149 -1.96561
2024-5-19_11:55:56.4854 100330 0.0127585 | -0.0127523 -0.000398089 -1.34643 | 6.78974 -0.206521 -3.3127 | 6.80249 -0.206123 -1.96627
2024-5-19_11:55:56.4954 100330 0.0136681 | -0.0136241 -0.00109517 -1.26643 | 6.78887 -0.207218 -3.2327 | 6.80249 -0.206123 -1.96627
2024-5-19_11:55:56.5054 100330 0.014267 | -0.0141961 -0.00142022 -1.26287 | 6.78765 -0.20727 -3.2227 | 6.80184 -0.205849 -1.95982
2024-5-19_11:55:56.5144 100330 0.0137037 | -0.0133283 -0.0031855 -1.10282 | 6.78695 -0.20895 -3.0627 | 6.80028 -0.205764 -1.95988
2024-5-19_11:55:56.5344 100330 0.0120539 | -0.01172 -0.00281727 -1.14242 | 6.78527 -0.208374 -3.1027 | 6.79699 -0.205557 -1.96027
2024-5-19_11:55:56.5454 100330 0.0117095 | -0.0109897 -0.00404234 -1.04198 | 6.78428 -0.209536 -3.0027 | 6.79527 -0.205493 -1.96071
2024-5-19_11:55:56.5544 100330 0.0115083 | -0.0111602 -0.00280923 -1.14154 | 6.7823 -0.208213 -3.1027 | 6.79346 -0.205404 -1.96116
2024-5-19_11:55:56.5634 100330 0.0112771 | -0.0106644 -0.00366665 -1.07129 | 6.78095 -0.208995 -3.0327 | 6.79161 -0.205328 -1.9614
2024-5-19_11:55:56.5754 100330 0.0109808 | -0.0101641 -0.00415569 -1.01114 | 6.77955 -0.209438 -2.9727 | 6.78972 -0.205283 -1.96155
2024-5-19_11:55:56.5834 100330 0.0116353 | -0.010739 -0.00447823 -0.980971 | 6.778 -0.209726 -2.9427 | 6.78874 -0.205248 -1.96173
2024-5-19_11:55:56.5954 100330 0.0105495 | -0.0090173 -0.00547545 -0.943955 | 6.7765 -0.210141 -2.9027 | 6.78552 -0.204665 -1.95874
2024-5-19_11:55:56.6034 100330 0.0111371 | -0.0101561 -0.00457023 -1.00272 | 6.7743 -0.209289 -2.9627 | 6.78445 -0.204718 -1.95997
2024-5-19_11:55:56.6154 100330 0.0111219 | -0.00906591 -0.00644251 -0.852481 | 6.77334 -0.211093 -2.8127 | 6.7824 -0.20465 -1.96022
2024-5-19_11:55:56.6234 100330 0.0109456 | -0.00894688 -0.00630551 -0.861084 | 6.77138 -0.210872 -2.8227 | 6.78032 -0.204567 -1.96161
2024-5-19_11:55:56.6354 100330 0.0109014 | -0.0089264 -0.00625778 -0.859878 | 6.76926 -0.210768 -2.8227 | 6.77818 -0.20451 -1.96282
2024-5-19_11:55:56.6434 100330 0.0105911 | -0.00856115 -0.00623532 -0.838773 | 6.76745 -0.210711 -2.8027 | 6.77602 -0.204476 -1.96392
2024-5-19_11:55:56.6554 100330 0.0108336 | -0.00830771 -0.0069534 -0.79757 | 6.76552 -0.211334 -2.7627 | 6.77383 -0.20438 -1.96513
2024-5-19_11:55:56.6634 100330 0.0112973 | -0.0075604 -0.00839461 -0.666649 | 6.76405 -0.212675 -2.6327 | 6.77161 -0.204281 -1.96605
