QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:52.5624 100330 0.0165149 | 0.0164596 0.00134972 -0.791839 | 6.87084 -0.398252 10.0221 | 6.85438 -0.399601 10.814
2024-5-19_13:43:52.5724 100330 0.0161619 | 0.0160693 0.00172793 -0.819651 | 6.87167 -0.397809 9.96215 | 6.8556 -0.399537 10.7818
2024-5-19_13:43:52.5824 100330 0.0160441 | 0.0159452 0.00177869 -0.817621 | 6.87275 -0.397692 9.93215 | 6.8568 -0.399471 10.7498
2024-5-19_13:43:52.5924 100330 0.0154408 | 0.0152014 0.00270893 -0.895058 | 6.87316 -0.396716 9.82215 | 6.85796 -0.399425 10.7172
2024-5-19_13:43:52.6024 100330 0.0156102 | 0.0154182 0.00244066 -0.861295 | 6.87449 -0.396925 9.82215 | 6.85908 -0.399366 10.6834
2024-5-19_13:43:52.6124 100330 0.0161034 | 0.0157902 0.00316065 -0.951259 | 6.87487 -0.396205 9.73215 | 6.85908 -0.399366 10.6834
2024-5-19_13:43:52.6224 100330 0.0171503 | 0.0162271 0.00555118 -0.846682 | 6.87612 -0.396453 9.75215 | 6.85989 -0.402004 10.5988
2024-5-19_13:43:52.6344 100330 0.0166071 | 0.0157168 0.00536458 -0.875277 | 6.8766 -0.396521 9.69215 | 6.86089 -0.401886 10.5674
2024-5-19_13:43:52.6424 100330 0.0166831 | 0.0155287 0.0060979 -0.90488 | 6.87736 -0.395665 9.63215 | 6.86183 -0.401763 10.537
2024-5-19_13:43:52.6524 100330 0.0163316 | 0.0148685 0.00675642 -0.958168 | 6.87757 -0.394882 9.55215 | 6.8627 -0.401638 10.5103
2024-5-19_13:43:52.6624 100330 0.0164721 | 0.0152155 0.00631005 -0.924072 | 6.87878 -0.39524 9.56215 | 6.86356 -0.40155 10.4862
2024-5-19_13:43:52.6744 100330 0.0163092 | 0.0148426 0.00675925 -0.953598 | 6.87924 -0.394779 9.51215 | 6.86439 -0.401538 10.4657
2024-5-19_13:43:52.6834 100330 0.0162815 | 0.0148677 0.00663623 -0.94453 | 6.88006 -0.39496 9.50215 | 6.8652 -0.401596 10.4467
2024-5-19_13:43:52.6944 100330 0.0158421 | 0.0137989 0.00778215 -1.03742 | 6.87982 -0.393897 9.39215 | 6.86602 -0.401679 10.4296
2024-5-19_13:43:52.7034 100330 0.0159729 | 0.0141388 0.0074316 -0.990143 | 6.88094 -0.394291 9.42215 | 6.8668 -0.401723 10.4123
