QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.5205 -0.706748 17.9628
100321 7.52244 -0.618121 178.971
100322 11.5445 -0.02752 179.389
100330 7.52732 0.0835403 179.26
MV_SC2005AM Start

 init 

2024-5-19_13:33:32.187 100330 0.0245262 | 0.0126786 -0.020995 0.423334 | 6.75811 -0.301816 2.63939 | 6.74543 -0.280821 2.21606
2024-5-19_13:33:32.195 100330 0.0252527 | 0.0128211 -0.0217559 0.474067 | 6.75823 -0.302506 2.68939 | 6.74541 -0.28075 2.21533
2024-5-19_13:33:32.207 100330 0.0253059 | 0.012853 -0.0217988 0.474098 | 6.75823 -0.302506 2.68939 | 6.74537 -0.280708 2.2153
2024-5-19_13:33:32.215 100330 0.0250587 | 0.012761 -0.021566 0.454033 | 6.7581 -0.302234 2.66939 | 6.74534 -0.280668 2.21536
2024-5-19_13:33:32.227 100330 0.0234652 | 0.010883 -0.0207888 0.447263 | 6.75803 -0.302098 2.65939 | 6.74715 -0.281309 2.21213
2024-5-19_13:33:32.235 100330 0.02356 | 0.0109202 -0.0208764 0.446744 | 6.75803 -0.302098 2.65939 | 6.74711 -0.281222 2.21265
2024-5-19_13:33:32.247 100330 0.0237053 | 0.0108021 -0.0211011 0.456901 | 6.75788 -0.302244 2.66939 | 6.74708 -0.281143 2.21249
2024-5-19_13:33:32.257 100330 0.0237793 | 0.0108135 -0.0211783 0.456576 | 6.75788 -0.302244 2.66939 | 6.74707 -0.281066 2.21282
2024-5-19_13:33:32.266 100330 0.0237556 | 0.0107809 -0.0211684 0.445867 | 6.75782 -0.302108 2.65939 | 6.74704 -0.28094 2.21353
2024-5-19_13:33:32.275 100330 0.0241532 | 0.0109521 -0.0215275 0.465256 | 6.75795 -0.30238 2.67939 | 6.747 -0.280853 2.21414
2024-5-19_13:33:32.287 100330 0.0240665 | 0.0109189 -0.021447 0.455317 | 6.75788 -0.302244 2.66939 | 6.74697 -0.280797 2.21408
2024-5-19_13:33:32.295 100330 0.023823 | 0.0108074 -0.0212305 0.435476 | 6.75775 -0.301972 2.64939 | 6.74695 -0.280741 2.21392
2024-5-19_13:33:32.307 100330 0.0234563 | 0.0106302 -0.0209093 0.405732 | 6.75756 -0.301563 2.61939 | 6.74693 -0.280654 2.21366
2024-5-19_13:33:32.315 100330 0.0239739 | 0.0106798 -0.0214637 0.445732 | 6.75761 -0.302118 2.65939 | 6.74693 -0.280654 2.21366
2024-5-19_13:33:32.327 100330 0.0230169 | 0.0104856 -0.0204897 0.461768 | 6.75774 -0.30239 2.67939 | 6.74725 -0.2819 2.21763
2024-5-19_13:33:32.335 100330 0.0229858 | 0.0104186 -0.020489 0.450963 | 6.75767 -0.302254 2.66939 | 6.74725 -0.281765 2.21843
2024-5-19_13:33:32.347 100330 0.0232592 | 0.0104952 -0.0207568 0.460737 | 6.75774 -0.30239 2.67939 | 6.74724 -0.281633 2.21866
2024-5-19_13:33:32.355 100330 0.0233884 | 0.0104914 -0.0209033 0.460798 | 6.75774 -0.30239 2.67939 | 6.74725 -0.281487 2.2186
2024-5-19_13:33:32.367 100330 0.0230296 | 0.0102781 -0.0206089 0.431052 | 6.75754 -0.301982 2.64939 | 6.74726 -0.281373 2.21834
2024-5-19_13:33:32.375 100330 0.0231334 | 0.0102676 -0.02073 0.431308 | 6.75754 -0.301982 2.64939 | 6.74727 -0.281252 2.21809
2024-5-19_13:33:32.387 100330 0.02302 | 0.0103399 -0.0205672 0.411562 | 6.75762 -0.3017 2.62939 | 6.74728 -0.281132 2.21783
2024-5-19_13:33:32.395 100330 0.0234294 | 0.0104698 -0.0209599 0.432201 | 6.75775 -0.301972 2.64939 | 6.74728 -0.281012 2.21719
